analytic_id,title,description,attack_technique,attack_tactic,alert_quality,references
1,sdelete execution,an application that securely deletes data in a way that makes it unrecoverable. ,T1107,Defense Evasion,med,https://attack.mitre.org/software/S0195/
2,Remote File Copy execution,Files may be copied from one system to another to stage adversary tools or other files over the course of an operation.,T1105,lateral movement,low,https://attack.mitre.org/techniques/T1105/
3,PowerShell basics,"Adversaries can use PowerShell to perform a number of actions, including discovery of information and execution of code. ",T1086,Execution,med,https://attack.mitre.org/techniques/T1086/
4,Scheduled Task add,An adversary may use task scheduling to execute programs at system startup or on a scheduled basis for persistence,T1053,"Execution, Persistence, Privilege Escalation",low,https://attack.mitre.org/techniques/T1053/
5,Scheduled Task remove,An adversary may want to remove a task which would have detected or inhibited execution such as updates or AV,T1053,"Execution, Persistence, Privilege Escalation",low,https://attack.mitre.org/techniques/T1053/
6,installutil,nstallUtil is a command-line utility that allows for installation and uninstallation of resources by executing specific installer components ,T1118,"Defense Evasion, Execution",low,https://attack.mitre.org/techniques/T1118/
7,irregular svchost execution,This records any unknown areas where the process set has been executed,T1055,"Defense Evasion, Privilege Escalation",high,https://attack.mitre.org/techniques/T1055/
8,single character process execution,"single character executions are quite rare, could indicate execution",T1064,"Defense Evasion, Execution",med,https://attack.mitre.org/techniques/T1064/
9,certutil url construction,certutil is a popular memory injection method this shows an attempt to access a url with certutil,T1105,"Command And Control, Lateral Movement",high,https://attack.mitre.org/techniques/T1105/
10,certutil encode decode ,certutil is a popular memory injection method this shows an attempt to encode or decode a file,T1105,"Command And Control, Lateral Movement",high,https://attack.mitre.org/techniques/T1105/
11,volume shadow delete,use volume shadow delete for persistance\defence evasion,T1107,Defense Evasion,high,https://attack.mitre.org/techniques/T1107/
12,Create or delete hidden shares using net.exe,"ESCU - Create or delete hidden shares using net.exe - Rule",T1059,"Execution, Persistence",med,https://attack.mitre.org/techniques/T1059/
13,Reg.exe used to hide files/directories via registry keys,"ESCU - Reg.exe used to hide files/directories via registry keys - Rule",,"Defense Evasion, Persistence",med,
14,Detect Use of cmd.exe to Launch Script Interpreters,"ESCU - Detect Use of cmd.exe to Launch Script Interpreters - Rule",T1059,"Execution",med,https://attack.mitre.org/techniques/T1059/
